"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered"
"prot-a-532","prot-a-1737","Simple mean",4,-0.151894732912633,0.0730206801871729,-0.295015266079492,-0.00877419974577415,0.128982792034153,FALSE,FALSE
"prot-a-532","prot-a-1737","FE IVW",4,-0.0543823124051604,0.0627631824276806,-0.177398149963414,0.0686335251530936,0.386233364387441,FALSE,FALSE
"prot-a-532","prot-a-1737","RE IVW",4,-0.0543823124051604,0.0627631824276806,-0.177398149963414,0.0686335251530936,0.449976497026319,FALSE,FALSE
"prot-a-532","prot-a-1737","FE Egger",4,0.218061059362799,0.272969772856625,-0.316959695436186,0.753081814161784,0.424379186561525,FALSE,FALSE
"prot-a-532","prot-a-1737","RE Egger",4,0.218061059362799,0.272969772856625,-0.316959695436186,0.753081814161784,0.508171952981669,FALSE,FALSE
"prot-a-532","prot-a-1737","Simple median",4,-0.034324024234018,0.0805886223715047,-0.192274821645866,0.12362677317783,0.670168689044903,FALSE,FALSE
"prot-a-532","prot-a-1737","Weighted median",4,-0.0029233632915949,0.0761493477706471,-0.152173342368279,0.146326615785089,0.969376840424608,FALSE,FALSE
"prot-a-532","prot-a-1737","Penalised median",4,-0.0029233632915949,0.0787875333709682,-0.15734409112944,0.15149736454625,0.970401772472889,FALSE,FALSE
"prot-a-532","prot-a-1737","Simple mode",4,0.00898669833489574,0.104730577323764,-0.196281461299769,0.21425485796956,0.937025236682035,FALSE,FALSE
"prot-a-532","prot-a-1737","Weighted mode",4,0.00633946915464123,0.0906192094184422,-0.171270917612998,0.183949855922281,0.948629921342392,FALSE,FALSE
"prot-a-532","prot-a-1737","Penalised mode",4,0.00633946915464123,0.092628820476585,-0.175209682909892,0.187888621219174,0.949742069523845,FALSE,FALSE
"prot-a-532","prot-a-1737","Simple mean",4,-0.151894732912633,0.0730206801871729,-0.295015266079492,-0.00877419974577415,0.128982792034153,FALSE,TRUE
"prot-a-532","prot-a-1737","FE IVW",4,-0.0543823124051604,0.0627631824276806,-0.177398149963414,0.0686335251530936,0.386233364387441,FALSE,TRUE
"prot-a-532","prot-a-1737","RE IVW",4,-0.0543823124051604,0.0627631824276806,-0.177398149963414,0.0686335251530936,0.449976497026319,FALSE,TRUE
"prot-a-532","prot-a-1737","FE Egger",4,0.218061059362799,0.272969772856625,-0.316959695436186,0.753081814161784,0.424379186561525,FALSE,TRUE
"prot-a-532","prot-a-1737","RE Egger",4,0.218061059362799,0.272969772856625,-0.316959695436186,0.753081814161784,0.508171952981669,FALSE,TRUE
"prot-a-532","prot-a-1737","Simple median",4,-0.034324024234018,0.0775546799302026,-0.186328403729746,0.11768035526171,0.658070729066689,FALSE,TRUE
"prot-a-532","prot-a-1737","Weighted median",4,-0.0029233632915949,0.0780080712397786,-0.155816373424996,0.149969646841806,0.970106162640125,FALSE,TRUE
"prot-a-532","prot-a-1737","Penalised median",4,-0.0029233632915949,0.0735138881109631,-0.14700793635259,0.1411612097694,0.968279574215169,FALSE,TRUE
"prot-a-532","prot-a-1737","Simple mode",4,0.00898669833489574,0.106396427500222,-0.199546467649266,0.217519864319058,0.938008090629277,FALSE,TRUE
"prot-a-532","prot-a-1737","Weighted mode",4,0.00633946915464123,0.0964575102073332,-0.182713776890136,0.195392715199419,0.951733056069812,FALSE,TRUE
"prot-a-532","prot-a-1737","Penalised mode",4,0.00633946915464123,0.0978743336565873,-0.185490699823126,0.198169638132409,0.952430455392263,FALSE,TRUE
"prot-a-532","prot-a-1737","Simple mean",4,-0.151894732912633,0.0730206801871729,-0.295015266079492,-0.00877419974577415,0.128982792034153,TRUE,FALSE
"prot-a-532","prot-a-1737","FE IVW",4,-0.0543823124051604,0.0627631824276806,-0.177398149963414,0.0686335251530936,0.386233364387441,TRUE,FALSE
"prot-a-532","prot-a-1737","RE IVW",4,-0.0543823124051604,0.0627631824276806,-0.177398149963414,0.0686335251530936,0.449976497026319,TRUE,FALSE
"prot-a-532","prot-a-1737","FE Egger",4,0.218061059362799,0.272969772856625,-0.316959695436186,0.753081814161784,0.424379186561525,TRUE,FALSE
"prot-a-532","prot-a-1737","RE Egger",4,0.218061059362799,0.272969772856625,-0.316959695436186,0.753081814161784,0.508171952981669,TRUE,FALSE
"prot-a-532","prot-a-1737","Simple median",4,-0.034324024234018,0.0763453542258175,-0.183958168903573,0.115310120435537,0.653006889406701,TRUE,FALSE
"prot-a-532","prot-a-1737","Weighted median",4,-0.0029233632915949,0.0782413223790611,-0.156273537257342,0.150426810674153,0.970195239900604,TRUE,FALSE
"prot-a-532","prot-a-1737","Penalised median",4,-0.0029233632915949,0.0771520420027538,-0.154138586950714,0.148291860367524,0.96977463775838,TRUE,FALSE
"prot-a-532","prot-a-1737","Simple mode",4,0.00898669833489574,0.112470843149313,-0.211452103548611,0.229425500218403,0.941346452052165,TRUE,FALSE
"prot-a-532","prot-a-1737","Weighted mode",4,0.00633946915464123,0.0932114249052196,-0.176351566607249,0.189030504916531,0.950055552702602,TRUE,FALSE
"prot-a-532","prot-a-1737","Penalised mode",4,0.00633946915464123,0.0948910615645845,-0.179643593966717,0.192322532276,0.950937837085458,TRUE,FALSE
"prot-a-532","prot-a-1737","Simple mean",4,-0.151894732912633,0.0730206801871729,-0.295015266079492,-0.00877419974577415,0.128982792034153,TRUE,TRUE
"prot-a-532","prot-a-1737","FE IVW",4,-0.0543823124051604,0.0627631824276806,-0.177398149963414,0.0686335251530936,0.386233364387441,TRUE,TRUE
