"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered"
"prot-a-569","prot-a-235","Simple mean",2,-0.0713525298908741,0.0149760961302876,-0.100705678306238,-0.0419993814755104,0.131707513630931,FALSE,FALSE
"prot-a-569","prot-a-235","FE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.00626384009136694,FALSE,FALSE
"prot-a-569","prot-a-235","RE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.223257267827905,FALSE,FALSE
"prot-a-569","prot-a-235","Simple mean",2,-0.0713525298908741,0.0149760961302876,-0.100705678306238,-0.0419993814755104,0.131707513630931,FALSE,TRUE
"prot-a-569","prot-a-235","FE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.00626384009136694,FALSE,TRUE
"prot-a-569","prot-a-235","RE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.223257267827905,FALSE,TRUE
"prot-a-569","prot-a-235","Simple mean",2,-0.0713525298908741,0.0149760961302876,-0.100705678306238,-0.0419993814755104,0.131707513630931,TRUE,FALSE
"prot-a-569","prot-a-235","FE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.00626384009136694,TRUE,FALSE
"prot-a-569","prot-a-235","RE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.223257267827905,TRUE,FALSE
"prot-a-569","prot-a-235","Simple mean",2,-0.0713525298908741,0.0149760961302876,-0.100705678306238,-0.0419993814755104,0.131707513630931,TRUE,TRUE
"prot-a-569","prot-a-235","FE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.00626384009136694,TRUE,TRUE
"prot-a-569","prot-a-235","RE IVW",2,-0.0653092195337722,0.0238909324480562,-0.112135447131962,-0.0184829919355822,0.223257267827905,TRUE,TRUE
